id;created_at;region_id;subscribers_count;name;short_description;address
18;16 Январь, 2020;6;125;Радуга;Центр оказывает помощь тяжело и неизлечимо больным детям Омска и Омской области, а так же семьям, попавшим в трудную жизненную ситуацию.;г. Омск, ул. Красина, 4/1
22;6 Февраль, 2020;5;303;Клуб добряков;"Благотворительный фонд «Клуб добряков» помогает детям и взрослым с тяжелыми заболеваниями, независимо от их национальности и вероисповедания.

На rehab@dobryaki.ru прием заявок на реабилитацию при ДЦП и других заболеваниях.
На help@dobryaki.ru - прием заявок на помощь в лечении, обследовании, реабилитации после несчастных случаев и онкологических заболевания.";г. Москва
23;19 Февраль, 2020;18;1 004;Tooba;Уникальное благотворительное приложение, которое всего за год существования завоевало доверие тысяч пользователей и стало эффективным инструментом для добрых дел на благо общества. С приложением Tooba вы можете помогать легко, безопасно и уверенно!;
26;15 Апрель, 2020;5;179;Движение вверх;Благотворительный фонд «Движение вверх» учрежден в марте 2018 года и помогает детям с инвалидностью (с ДЦП, черепно-мозговыми травмами, нарушениями опорно-двигательного аппарата, после инсульта, после лечения онкологии и другими тяжелыми заболеваниями) пройти жизненно необходимую реабилитацию как в специализированных медицинских центрах, так и в домашних условиях. Именно реабилитация позволяет детям с инвалидностью восстановить утраченные в результате болезни или травмы способности и стать максимально самостоятельными в повседневной жизни: общаться со сверстниками, учиться, ходить в музеи и кино, путешествовать.;г. Москва, ул. Новая Басманная, д. 17
27;15 Апрель, 2020;8;521;Фонд Зиты и Гиты Резахановых;Фонд оказывает разностороннюю и разноплановую помощь детям, подросткам, молодым и пожилым ​ людям;Кыргызская Республика, г. Бишкек, мкр. «Джал»-23, д.7, кв. 30
28;16 Апрель, 2020;10;214;Садака;Основной целью деятельности фонда является развитие благотворительности и меценатства в обществе.;г. Ульяновск, ул. Марата, д. 8
29;1 Май, 2020;7;899;Прекрасное далёко;"Благотворительный фонд ""Прекрасное далëко"" был основан в 2018 году. 

Фондом создана уникальная система социального обслуживания одиноких нуждающихся пенсионеров, которая включает в себя обеспечение питанием, услугами прачечной и клининга. Услуги оказываются с помощью собственной курьерской службы. 

Система позволяет пожилым людям снизить чувство одиночества, почувствовать заботу о себе и, что очень важно - многие старики имеют возможность не оформляться в дома престарелых и жить дома, не смотря на слабость и отсутствие родных. 

Фонд также помогает адресно людям с тяжёлыми заболеваниями. Оплачиваются медикаменты, лечение в стационаре, медицинское оборудование и другие нужды болеющих людей.";г. Новороссийск, ул. Кутузовская, д. 117а
30;8 Май, 2020;5;516;Настенька;"""Благотворительный фонд «Настенька» с 2002 года помогает детям с онкологическими и другими тяжелыми заболеваниями, угрожающими жизни. 
Фонд оплачивает исследования, лекарства, лечение, реабилитацию, проезд до места лечения и проживание. 

Оказывает помощь детским больницам - покупка медицинского оборудования, расходных материалов, улучшение бытовых условий.

Мы работаем, чтобы каждый ребенок смог получить необходимое лечение!""";117105, г. Москва, Варшавское шоссе, д. 39Б, 3 эт, пом.XI, комн.1
31;16 Июнь, 2020;5;110;Бюро Добрых Дел;"Фонд «Бюро Добрых Дел» основан в 2012 году. Мы занимаемся комплексной помощью подросткам в детских домах – детям, которых реже всего забирают в приемные семьи. 

Мы оказываем им психологическую помощь, оплачиваем проф. образование, занимаемся их социальной и бытовой адаптацией. Помимо этого фонд обучает специалистов детских домов передовым методикам работы с детьми.";г. Москва, ул. Скаковая, 36, оф. 213
32;16 Июль, 2020;5;206;Игра;"Благотворительный фонд «Игра» системно помогает детям с двигательными нарушениями с самого раннего возраста до 7 лет:

- обучает врачей в регионах, чтобы маленькие пациенты как можно раньше получали лучшую помощь у себя дома;
- проводит онлайн-курсы, где терапевты помогают организовать эффективную реабилитацию в домашних условиях;
- проводит юридические онлайн-курсы, где помогает родителям добиться помощи от государства;
- оплачивает активные коляски.";123056, Москва, ул. Зоологическая, д. 26, стр. 2, этаж 4
33;16 Июль, 2020;5;183;Хрупкие Люди;Благотворительный фонд «Хрупкие люди» создан для оказания помощи больным с несовершенным остеогенезом и другой костной патологией.;г. Москва, 1-й Боткинский пр-д, д. 7с1
34;24 Июль, 2020;5;123;Старость в радость;"Фонд «Старость в радость» работает с 2011 года, оказывая психологическую, информационно-консультационную, финансовую, медико-социальную и бытовую помощь пожилым людям и людям с инвалидностью в трудных жизненных ситуациях. 

В настоящее время фонд Фонд помогает более чем в 60 регионах и по меньшей мере в 1000 учреждениях – домах престарелых, ПНИ, отделениях сестринского ухода, надомных службах комплексных центров социального обслуживания. На постоянной основе Фонд в реализует собственные программы, ориентированные на оказание помощи проживающим дома и в интернатах — Медицина, Ежедневный уход, Уютный дом, Досуг, Неотложка. Фонд активно развивает волонтерскую и  pro-bono помощь.";г. Москва, ул. Народного Ополчения, д. 40, корп. 3,  этаж 1, офис 116
35;29 Июль, 2020;5;89;Дом с маяком;Благотворительный фонд «Дом с маяком» помогает неизлечимо больным детям и молодым взрослым до 30 лет и поддерживает детские хосписы на территории Москвы и Московской области.;г. Москва, ст. м. «Новослободская», ул. Долгоруковская, д. 30
36;6 Август, 2020;5;515;Помоги.Орг;Фонд Помоги.Орг объединяет людей для оказания срочной адресной медицинской и иной помощи в ситуациях невозможности ее своевременного получения за счет бюджетных средств, поддержки талантливых детей из многодетных и малообеспеченных семей, а также пострадавших от чрезвычайных ситуаций.;1-й Тверской-Ямской переулок, д.18. Станция метро «Маяковская»
37;6 Август, 2020;5;461;Фонд борьбы с лейкемией;Фонд борьбы с лейкемией с 2014 года помогает взрослым пациентам  с заболеваниями системы крови по всей России. Организует сборы средств на препараты и лечение и поддерживает подопечных на всех этапах борьбы с болезнью. Кроме того, фонд занимается просветительской деятельностью и реализует спецпроекты по психологической помощи и борьбе с канцерофобией, организует лекции и круглые столы с участием медицинских специалистов.;г. Москва, Новинский бульвар, д.18, стр.1, помещение VIII
38;10 Август, 2020;5;495;Спина бифида;Мы помогаем семьям с детьми со spina bifida и детям с этим диагнозом в детских и интернатных социальных учреждениях, а также сотрудничаем с медицинскими учреждениями, работающими с людьми со spina bifida.;117218, г. Москва, ул. Черемушкинская Б., 20, к.4, пом. II, комната 2
39;13 Август, 2020;5;965;Дети-бабочки;"Благотворительный фонд «Дети-бабочки» — единственная в России организация, которая с 2011 года оказывает системную помощь пациентам с редкими (орфанными) заболеваниями кожи: буллезным эпидермолизом (БЭ) и ихтиозом. Это тяжелые наследственные патологии, возникающие в результате генетической мутации, из-за чего кожа не в состоянии выполнять свои основные функции – защитную и барьерную.

Под патронажем фонда находится более 2 500 пациентов на территории РФ и стран СНГ. Фонд сопровождает подопечных на протяжении всей жизни, выстраивая систему поддержки вокруг пациента, реализуя программы медицинской, адресной, юридической, психологической и информационной помощи. 

Такой подход позволяет избежать ранней инвалидизации и смерти «бабочек» и «рыбок», осложнений заболеваний, способствует социализации пациентов и их семей, снижает уровень социальной напряженности. 

Фонд также занимается проблемами отказников с орфанными генными дерматозами, социальными проектами для родителей особенных детей, ведет просветительскую работу в медицинском сообществе, организует дополнительное образование для врачей, осуществляет клиническое и научное сотрудничество с ведущими федеральными медицинскими центрами.";Фурманный переулок, дом 3, помещение I, комната 1, г. Москва, 101000
40;10 Сентябрь, 2020;13;102;Фонд Против ДТП;Фонд оказывает помощь пострадавшим в автотранспортных происшествиях.;Санкт-Петербург, ул.Социалистическая, д.21, стр.1, пом.110-Н
42;8 Октябрь, 2020;16;99;Берегиня;"Благотворительный фонд ""Берегиня"" помогает детям Перми и Пермского края с онкологическими и другими тяжелыми заболеваниями.";"г. Пермь, ул. Мира 41в
(«Арктик Холл»),
офис 6 (2 этаж)"
43;8 Октябрь, 2020;13;352;свет.дети;Благотворительный фонд «свет.дети» поддерживает детей с онкологическими заболеваниями и их семьи из России и других государств с 2008 года. Наша главная задача — вместе с вами помочь ребёнку преодолеть болезнь, сделав его лечение максимально эффективным.;г. Санкт-Петербург, ул. Бумажная, д. 9, корп. 1, лит. А офис 212
44;14 Октябрь, 2020;13;241;Все Все Вместе;Фонд оказывает помощь детям и взрослым с травмами и заболеваниями опорно-двигательного аппарата. Фонд повышает качество жизни подопечных, помогает обрести свободу в движении.;г. Санкт-Петербург, пр.-кт Коломяжский, д. 10, лит АМ, пом. 3Н-7
45;25 Октябрь, 2020;5;41;Жизнь с ДЦП;"Фонд поддержки инвалидов с детским церебральным параличом и черепно-мозговой травмой «Жизнь с ДЦП»  оказывает помощь людям с ДЦП и черепно-мозговой травмой. В рамках этой миссии наша команда реализовывает несколько направлений:

- адресная благотворительная помощь;

- мы осуществляем сбор средств  для оплаты курсов реабилитации или приобретения ТСР; проводим благотворительные мероприятия: посещение выставок, концертов, спектаклей для подопечных фонда; мероприятия по сбору пожертвований;

- некоммерческие медицинские центры. Фондом создана сеть некоммерческих центров шаговой доступности, в которых дети получают курсы лечения и реабилитации бесплатно;        
                                                                         
- информационная поддержка. В 2009 г. фонд учредил и издает 4 раза в год единственное в России  печатное издание о ДЦП -  информационно-практический журнал «Жизнь с ДЦП. Проблемы и решения». География распространения — территория РФ и страны СНГ.";Москва, Севастопольский проспект, д.1, корп.5, помещение 1
46;26 Октябрь, 2020;17;3 963;Сабиль;"Благотворительный фонд ""Сабиль"" оказывает поддержку многодетным и неполным семьям, а также другим нуждающимся, которые оказались в трудной жизненной ситуации.";г. Казань,  ул. Гвардейская 54, офис 305
54;21 Декабрь, 2020;29;1 335;МИЛА 4 АФРИКА;"Благотворительный фонд помощи
социально незащищенным жителям Африки оказывает помощь Людям с альбинизмом; Людям, подвергающимся преследованиям по религиозным и другим соображениям; Людям , оказавшимся в трудной жизненной ситуации; Детям-сиротам и детям из неблагополучных семей; Детям с меланомой и другими заболеваниями; И другим социально незащищенные жителям стран Африки.";"141007,
Московская область,
Г.О. МЫТИЩИ,
Г МЫТИЩИ,
УЛ ХЛЕБОЗАВОДСКАЯ,
Д. 6,
КОМ. 101, ЛИТЕР Д, 1-ЭТАЖ"
63;29 Январь, 2021;5;662;Ника;Благотворительный Фонд помощи бездомным животным «Ника» содержит более 800 животных в двух собственных приютах, организует и выполняет программу «Отлов-стерилизация-вакцинация-выпуск», оказывает срочную ветеринарную помощь бездомным животным, оказывает консультационную и материальную помощь другим приютам.;г. Зеленоград, корпус 322А, 4 этаж, офис 407
64;8 Февраль, 2021;20;68;Мой Байкал;Иркутская Региональная Экологическая Общественная Организация «Мой Байкал» создана в 2016 году, ее цель - сохранять и беречь природу озера Байкал путем активных действий неравнодушных людей.;г. Иркутск
65;10 Февраль, 2021;5;326;Движение-это жизнь;Благотворительный фонд помощи детям с заболеваниями опорно-двигательного аппарата.;г. Москва, ул. П.Андреева, д. 28, к. 3
67;11 Февраль, 2021;22;72;Солнечный Город;"Фонд счастливого детства «Солнечный город» исследует причины социального неблагополучия и внедряет эффективные практики помощи семьям, чтобы каждый ребенок в России жил с любящими родителями. 

Фонд работает в 4-х направлениях:
– профилактика семейного неблагополучия и поддержка семей в сложных жизненных ситуациях; 
– социальная адаптация выпускников детских домов; 
– развитие новых форм семейного устройства, как альтернативы сиротским учреждениям; 
– просвещение общества о важности семьи и счастливого детства в жизни каждого человека. 

В команде фонда работают профессионалы, а за каждым проектом — реальные истории тысяч подопечных, которые получили вашу поддержку.";г. Новосибирск, ул. Гоголя, 15 (7 этаж)
70;26 Март, 2021;24;163;Фонд им. Ани Чижовой;Фонд помогает детям, страдающим неизлечимыми заболеваниями, получить полноценную паллиативную помощь, а также поддерживает их семьи.;428003, Чувашская Республика, г. Чебоксары, ул. Водопроводная, 9/77
71;27 Март, 2021;15;112;Потерь нет;Фонд оказывает системную помощь в решении проблем детей с онкологическими заболеваниями и их семей путем повышения качества и доступности диагностики, лечения детского рака, реабилитации и паллиативной помощи в Республике Башкортостан.;"г. Уфа, ул. Генерала Горбатова, 7/5. Остановка общественного транспорта ""Санаторий Зеленая роща"""
72;7 Апрель, 2021;25;30;Сохрани жизнь;"Благотворительный фонд ""Сохрани жизнь"" помогает Онкогематологическому центру Краевой детской клинической больницы №1 и семьям, где дети болеют онкогематологическими и другими тяжёлыми заболеваниями.";г. Владивосток, пр. Острякова, д. 27
73;9 Апрель, 2021;13;40;Перспективы;«Перспективы» – партнерство благотворительных организаций, работающих ради улучшения жизни детей и взрослых с тяжелой инвалидностью, общественная организация социальной помощи детям-инвалидам и взрослым.;ДЦ Радиус, Волковский пр., 32, Санкт-Петербург
74;14 Апрель, 2021;14;88;Благотворительный фонд МАРИНА;Фонд оказывает помощь детям до 18 лет, оказавшимся в трудной жизненной ситуации, детям - сиротам, детям - инвалидам проживающим в Костромской области.;г. Кострома, ул. Городская, 1А
75;1 Май, 2021;26;355;АНБО «Верность»;АНБО «Верность» более семи лет профессионально и с любовью создаёт спокойную и безопасную жизнь людей и животных в городе, делая новой нормой и естественным образом жизни ответственное отношение к животным.;Ярославская область, город Данилов, ул. Шарохина, 17-32
77;7 Май, 2021;28;33;Социальная платформа;Организация оказывает поддержку людям, попавшим в трудную жизненную ситуацию или нуждающимся в высокотехнологическом лечении из России и стран СНГ.;650023, Кемеровская область - Кузбасс, г.Кемерово, проспект Притомский 35/2, офис 2
78;1 Июнь, 2021;28;251;Только вместе;Фонд помогает детям с особенностями развития и их семьям, развивая системную профессиональную поддержку в образовании и досуге.;Кемеровская область, г. Новокузнецк, пр-кт Энтузиастов д. 7
79;4 Июнь, 2021;13;53;АдВИТА;Фонд помогает детям и взрослым с онкологическими, гематологическими и иммунологическими заболеваниями, которые лечатся в больницах Санкт-Петербурга.;г. Санкт-Петербург, Большой проспект П.С., д. 77, 2 этаж.
80;29 Июнь, 2021;5;406;Ты ему нужен;Фонд помогает детям, приемным детям и сиротам с нейрохирургическими и неврологическими заболеваниями!;г. Тверь, Петербургское шоссе, д.53 А, оф. 611
81;6 Июль, 2021;5;690;Собаки, которые любят;"«Собаки, которые любят» – фонд, который помогает бездомным собакам и кошкам. Организация официально зарегистрирована в апреле 2017 года. Мы оказываем системную поддержку животным в муниципальных и частных приютах: приезжаем в качестве волонтеров, социализируем и выгуливаем, закупаем корма и медикаменты. Опекаем отдельных животных, которые нуждаются в лечении, обеспечиваем их необходимой ветеринарной помощью.

Подать заявку на получение помощи можно, написав на почту info@fund4dogs.ru.";109044, г. Москва, ул. Динамовская, дом 9, строение 1, квартира 84
82;27 Июль, 2021;14;332;География Добра;Благотворительный фонд «География Добра» более 7 лет помогает взрослым и детям в РФ, способствует развитию экологического просвещения, участвует в помощи возрождения памятников архитектуры.;156000, Костромская область, г. Кострома ул. Мясницкая, д. 19 д.
83;29 Июль, 2021;29;1 420;Провидение;Фонд помощи детям и их семьям «Провидение» спасает зрение недоношенным детям и поддерживает их родителей.;г. Москва, Нахимовский проспект, д.30/43
84;9 Август, 2021;30;84;Чужих детей не бывает;Фонд решает проблему социального сиротства.;г. Хабаровск, Кавказская, 35/6
85;10 Август, 2021;31;11;Счастливые Дети;Основная деятельность фонда направлена на устройство детей-сирот в приемные семьи и их сопровождение, а также оказание помощи малышам из домов ребенка, находящимся в больницах города. Фонд работает с детскими домами всего Красноярского края.;г. Красноярск, ул. Молокова, 19, пом. 103
86;13 Август, 2021;32;87;ДоброСвет;"Благотворительный фонд ""ДоброСвет"" помогает детям и молодым взрослым до 35 лет г.Воронежа и Воронежской области с онкологическими и иными тяжелыми заболеваниями.";г.Воронеж, ул. Березовая роща, д.66
87;18 Август, 2021;33;57;Верю в чудо;«Верю в Чудо» содействует детским медицинским и социальным учреждениям, развивает волонтёрство и благотворительность в Калининградской области, помогает повышать компетенции медицинских и социальных работников. С 2013 года центр развивает сферу оказания паллиативной хосписной помощи детям.;г. Калининград, пр. Победы 3
88;19 Август, 2021;5;41;Дари Надежду;Фонд помогает и оказывает разнообразную поддержку одиноким и нуждающимся людям старшего возраста.;г. Москва, ул.Николоямская 26, стр 3, помещение 4
89;27 Август, 2021;34;164;Солнечный день;Фонд помогает одиноким пожилым людям и жителям домов престарелых, инвалидам, семьям воспитывающим детей с ограниченными возможностями здоровья.;г. Челябинск, ул. Марченко 11б
90;15 Сентябрь, 2021;2;330;СОЗИДАНИЕ;Автономная Некоммерческая Организация «СОЗИДАНИЕ» ведет свою деятельность в экологической сфере. Проект «Сады Поколений» - сажаем деревья в общественных пространствах, береговой линии и в социальных учреждениях. Проект «Родники Ингушетии» - благоустройство родников. Проект «Читай» - просветительская деятельность по насущным проблемам.  Ключевая задача – это озеленение Сунженского хребта для предупреждения опустынивания.;г. Назрань
91;3 Октябрь, 2021;35;30;Преодоление;Наша миссия - помогать одиноким пожилым людям жить. Мы хотим обеспечить главное право человека - право на достойную старость.;г. Тамбов, ул. Красная, 1
94;18 Январь, 2022;1;343;Тлондода;"БФ «Тлондода» — фонд помощи, организованный выходцами села Тлондода для оказания помощи и поддержки сельчан. 
Основные направления:
1. Помощь людям, оказавшимся в тяжелой жизненной ситуации
2. Помощь больным
3. Образование
4. Улучшение сельской инфраструктуры";Цумадинский район, с. Тлондода, ул. им.Магомеда Шамхалова, д. 76
95;19 Январь, 2022;5;341;Дорога жизни;Фонд «Дорога Жизни» с 2016 года помогает детям-сиротам из регионов обрести полноценную жизнь. Мы организуем доступ к качественной медицине, чтобы наши подопечные могли развиваться, учиться и расти счастливыми.  Мы объединяем учреждения, государственные ведомства и медицинские организации, чтобы улучшить жизнь детей, оставшихся без семьи.  Фонд также предоставляет больничных нянь детям, попавшим в трудную жизненную ситуацию: изъятым из асоциальных семей, потерявшимся в городе, оставшимся без родителей.;111141, Москва, Кусковская улица, 20А, БЦ «Кусково», подъезд 5, офис 605А
96;25 Январь, 2022;5;40;Подарок Ангелу;С 2014 года благотворительный фонд помощи детям и взрослым «Подарок Ангелу» занимается системной помощью неполным и малоимущим семьям, в которых воспитываются дети с церебральным параличом и другими нарушениями опорно-двигательного аппарата, оказывая помощь по различным направлениям: постоянная комплексная реабилитация, материальная адресная помощь, социализация и психологическая поддержка.;г. Москва, ул. Кожевническая, дом 1, стр 1, этаж 6, офис №601
97;23 Февраль, 2022;15;57;Ломая Барьеры;Помогаем детям с ограниченными возможностями здоровья!;РБ, г.Уфа, ул. Менделеева 195\2, кв. 121
98;12 Март, 2022;5;141;Вера;Фонд «Вера» был основан в 2006 г. Это некоммерческая организация, которая системно занимается паллиативной помощью, поддержкой хосписов и их пациентов, оказывает услуги сопровождения паллиативных пациентов на дому.;Москва, 2-й Николощеповский переулок, дом 4
99;30 Март, 2022;5;117;Фонд борьбы с инсультом ОРБИ;Фонд борьбы с инсультом ОРБИ – первая профильная организация, которая занимается проблемой инсульта в России. Был основан в 2010 году. Сегодня фонд ОРБИ помогает людям после инсульта, а также их семьям, поддерживает медицинские учреждения, проводит курсы повышения квалификации для медицинского персонала, строит по всей России специальные пространства для реабилитации после инсульта – эргокомнаты, закупает необходимое медицинское оборудование, проводит масштабные информационные кампании по профилактике инсульта.;г. Москва, ул. Студенческая 32
100;28 Апрель, 2022;5;305;ПОДСОЛНУХ;"Благотворительный Фонд помощи детям и взрослым с нарушениями иммунитета  «ПОДСОЛНУХ» - первая и единственная в Росси некоммерческая организация, которая с 2006 года занимается системной помощью детям и взрослым с тяжелыми врожденными нарушениями иммунитета.
 
Миссия фонда – находить пациентов с врожденными заболеваниями иммунитета и помогать им жить полноценной жизнью.";г. Москва, ул. Бутлерова, д. 17, БЦ Neo Geo, этаж 3, ком. 269
101;17 Май, 2022;5;204;Найди семью;"Фонд “Найди семью” работает, чтобы приемные дети справились с травмами сиротского прошлого и никогда не возвращались в детские дома.

Чтобы помочь приемным семьям преодолеть трудности, мы оказываем комплексную помощь: с детьми и родителями работают психологи и другие помогающие специалисты. Семьи с приемными детьми могут получить помощь очно в Москве и регионах и онлайн по всей России.

Мы также оказываем адресную помощь на лечение и реабилитацию приемных детей, а также на оплату поездок приемных родителей за детьми в отдаленные регионы России и готовим кандидатов в приемные родители к осознанному решению.

Если вы приемный родитель или готовитесь им стать, и вам нужна помощь, вы можете написать нам на почту info@sirota.ru.";г. Москва, ул. Садовая-Кудринская, д. 32А стр. 9, 4 этаж, офис 41, 44.
102;17 Май, 2022;31;438;Жёлтый Аист;Помогаем детям в трудной жизненной ситуации и создаём возможности для их счастливого будущего с учетом индивидуальных возможностей каждого ребёнка.;652300, Красноярский край, г. Сосновоборск, улица Юности, д. 3, помещение 240, ком.8
103;20 Май, 2022;13;31;Мусора.Больше.Нет;Общественная экологическая организация России. Более 18 лет занимается просвещением детей и взрослых по темам переработки, сбережения ресурсов, сокращения отходов. Активисты проводят уроки, лекции, викторины, квесты, выставки, курсы, квизы, акции.;Юридический Адрес: г. Санкт-Петербург, ул. Кржижановского, д. 3, корпус 3
104;23 Май, 2022;5;264;Жизнь;Благотворительный фонд «Жизнь» помогает детям с онкологическими и онкогематологическими заболеваниями в оплате лечения, обследований и покупке лекарств.;г. Москва, Алтуфьевское шоссе, д. 27, 3 этаж, офис 323.
105;26 Май, 2022;5;58;Арифметика Добра;"Благотворительный фонд «Арифметика добра» был учрежден для системного решения проблемы сиротства в России в 2014 году.  
Миссия фонда – помочь детям-сиротам найти семью и стать успешными членами общества. 
Мы убеждены, что каждый ребенок имеет право найти свою семью, определить собственные возможности и сделать самостоятельный выбор.
Приоритетными направлениями работы фонда «Арифметика добра» являются поддержка усыновления и семейного устройства воспитанников детских домов, формирование института профессиональных приемных родителей, подготовка семей к принятию подростков, а также социализация и адаптация детей-сирот, организация дистанционного обучения, профориентация и формирование социальных навыков у воспитанников детских домов, постинтернатное сопровождение, подготовка и создание пары наставника и воспитанника.";Москва, 1-й Кожевнический переулок 6, строение 1, 1 этаж, помещение 13а.
107;3 Июнь, 2022;5;37;Живи сейчас;"Боковой амиотрофический склероз (БАС), который чаще называют «болезнью Стивена Хокинга» или «болезнью Лу Геринга», поражает двигательные нейроны. Из-за этого у людей, которые столкнулись с этим заболеванием, постепенно перестают работать мышцы, и теряется возможность самостоятельно двигаться, говорить, глотать, дышать.

В России, где с БАС живут 15 тысяч человек, единственной некоммерческой организацией, поддерживающей развитие системной помощи пациентам с БАС, является Благотворительный фонд «Живи сейчас».";"Юридический и почтовый адрес: 
117246, Москва, ул. Херсонская, 41—10


Адрес офиса: 
Москва, ул. Нижегородская, д. 32, стр. 4, офис 117"
110;25 Июль, 2022;13;274;Умка;Санкт-Петербургская благотворительная общественная организация помощи детям-инвалидам «Умка» работает с 2003 года, оказывая помощь маленьким пациентам онкологических отделений больниц, детям-инвалидам и их семьям, воспитанникам коррекционных детских домов и школ-интернатов.;197183, г. Санкт-Петербург, Карельский переулок, д. 3, пом.4-Н
111;25 Июль, 2022;34;44;Человек напротив;Помогаем пожилым, тяжелобольным людям и их родственникам.;г. Челябинск, пр-т Победы, 168, оф. 305
112;25 Июль, 2022;38;13;Живи, малыш;"С 2012 года фонд «Живи, малыш» помогает детям и молодым взрослым с заболеваниями опорно-двигательного аппарата со всей России проходить лечение и реабилитацию. Кроме этого, мы развиваем собственные социальные проекты - бесплатное такси для перевозки людей с инвалидностью, выездная служба реабилитации, служба нянь-ассистентов.
Мы - негосударственная организация и сами находим деньги на работу наших проектов: собираем пожертвования, ищем спонсоров, организуем благотворительные концерты и ярмарки.";РФ, Свердловская область, город Нижний Тагил, улица Газетная 77а оф 307
